category	day_of_week	description	incident_num	latitude	longitude	date	resolution
VEHICLE THEFT	Sunday	STOLEN AUTOMOBILE	160195527	37.7323202786548	-122.41022657263	2016-03-07T06:00:00Z	NONE
ASSAULT	Monday	BATTERY	160196020	37.7839320277273	-122.412597377187	2016-03-07T19:33:00Z	EXCEPTIONAL CLEARANCE
NON-CRIMINAL	Monday	AIDED CASE, MENTAL DISTURBED	160196020	37.7839320277273	-122.412597377187	2016-03-07T19:33:00Z	EXCEPTIONAL CLEARANCE
NON-CRIMINAL	Thursday	AIDED CASE	160225710	37.7924508111721	-122.405942287669	2016-03-18T04:30:00Z	NONE
ASSAULT	Thursday	BATTERY	160225732	37.7121040537994	-122.41847388242	2016-03-18T04:25:00Z	NONE
ASSAULT	Thursday	BATTERY	160225748	37.782346520673	-122.413893155951	2016-03-18T05:15:00Z	NONE
NON-CRIMINAL	Saturday	LOST PROPERTY	160196199	37.7796660426062	-122.41371122073	2016-03-05T23:00:00Z	NONE
ASSAULT	Thursday	BATTERY OF A POLICE OFFICER	160225867	37.7832593295025	-122.414217804322	2016-03-18T06:04:00Z	ARREST, BOOKED
DRUNKENNESS	Thursday	UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE	160225867	37.7832593295025	-122.414217804322	2016-03-18T06:04:00Z	ARREST, BOOKED
NON-CRIMINAL	Monday	AIDED CASE	160197426	37.7478479047579	-122.423641272382	2016-03-08T01:29:00Z	NONE
NON-CRIMINAL	Monday	DEATH REPORT, CAUSE UNKNOWN	160197426	37.7478479047579	-122.423641272382	2016-03-08T01:29:00Z	NONE
VANDALISM	Friday	MALICIOUS MISCHIEF, VANDALISM OF VEHICLES	160227089	37.7536841158237	-122.405460433484	2016-03-18T18:38:00Z	ARREST, BOOKED
ASSAULT	Wednesday	THREATS AGAINST LIFE	160227095	37.7223249527956	-122.416631183915	2016-03-17T00:00:00Z	NONE
NON-CRIMINAL	Friday	AIDED CASE, MENTAL DISTURBED	160227114	37.7899019822508	-122.407114491118	2016-03-18T18:55:00Z	NONE
BURGLARY	Wednesday	BURGLARY OF APARTMENT HOUSE, ATT FORCIBLE ENTRY	160227136	37.7866604918855	-122.429183978793	2016-03-16T08:03:00Z	NONE
NON-CRIMINAL	Sunday	FOUND PROPERTY	160197874	37.79188233556	-122.409999361883	2016-03-06T22:30:00Z	NONE
ASSAULT	Wednesday	AGGRAVATED ASSAULT WITH BODILY FORCE	160227459	37.7698464875415	-122.44776112232	2016-03-09T08:30:00Z	ARREST, BOOKED
LARCENY/THEFT	Thursday	GRAND THEFT FROM LOCKED AUTO	160227835	37.8006947037442	-122.436775838314	2016-03-18T02:45:00Z	NONE
STOLEN PROPERTY	Monday	STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING	160198264	37.791857696115	-122.442985817822	2016-03-08T04:30:00Z	ARREST, BOOKED
ASSAULT	Friday	FIREARM, DISCHARGING IN GROSSLY NEGLIGENT MANNER	160227879	37.7288276251864	-122.380348349699	2016-03-18T22:15:00Z	ARREST, BOOKED
VEHICLE THEFT	Wednesday	STOLEN MOTORCYCLE	160203017	37.7406428496024	-122.423091821258	2016-03-02T18:00:00Z	ARREST, BOOKED
MISSING PERSON	Wednesday	MISSING JUVENILE	160203039	37.7798208705936	-122.43376037857	2016-03-03T04:30:00Z	NONE
OTHER OFFENSES	Sunday	DRIVERS LICENSE, SUSPENDED OR REVOKED	160232646	37.7862483456629	-122.402027706948	2016-03-20T16:00:00Z	ARREST, BOOKED
ASSAULT	Sunday	BATTERY	160232652	37.7838424505847	-122.432743822617	2016-03-20T15:58:00Z	NONE
NON-CRIMINAL	Thursday	LOST PROPERTY	160232668	37.7659871570237	-122.42666706177	2016-03-17T19:00:00Z	NONE
OTHER OFFENSES	Sunday	DRIVERS LICENSE, SUSPENDED OR REVOKED	160232674	37.781446350134	-122.417146843836	2016-03-20T16:05:00Z	ARREST, BOOKED
SUSPICIOUS OCC	Wednesday	INVESTIGATIVE DETENTION	160203158	37.7526284767606	-122.41190223263	2016-03-10T02:06:00Z	NONE
OTHER OFFENSES	Sunday	TRAFFIC VIOLATION	160232759	37.7522391652625	-122.418448186101	2016-03-20T17:45:00Z	ARREST, BOOKED
ASSAULT	Wednesday	THREATS AGAINST LIFE	160204225	37.7285280627465	-122.475647460786	2016-03-09T23:00:00Z	NONE
LARCENY/THEFT	Sunday	PETTY THEFT FROM A BUILDING	160233503	37.7783776282666	-122.500660773466	2016-03-20T18:59:00Z	NONE
NON-CRIMINAL	Wednesday	FOUND PROPERTY	160205198	37.7649178909424	-122.421886357981	2016-03-10T06:00:00Z	NONE
MISSING PERSON	Sunday	FOUND PERSON	160234250	37.7964914531604	-122.409652663162	2016-03-21T02:50:00Z	NONE
BURGLARY	Thursday	BURGLARY OF APARTMENT HOUSE, ATT FORCIBLE ENTRY	160205370	37.7954736338658	-122.425905234189	2016-03-10T23:43:00Z	NONE
SUSPICIOUS OCC	Thursday	SUSPICIOUS OCCURRENCE	160205370	37.7954736338658	-122.425905234189	2016-03-10T23:43:00Z	NONE
NON-CRIMINAL	Saturday	DEATH REPORT, CAUSE UNKNOWN	160234448	37.7578801214437	-122.417955821717	2016-03-20T05:20:00Z	NONE
NON-CRIMINAL	Saturday	FOUND PROPERTY	160234454	37.7667189830239	-122.419074754954	2016-03-20T04:00:00Z	NONE
ASSAULT	Sunday	AGGRAVATED ASSAULT WITH BODILY FORCE	160234460	37.7843798927107	-122.443019399793	2016-03-21T02:41:00Z	ARREST, BOOKED
ASSAULT	Sunday	INFLICT INJURY ON COHABITEE	160234460	37.7843798927107	-122.443019399793	2016-03-21T02:41:00Z	ARREST, BOOKED
NON-CRIMINAL	Monday	AIDED CASE, MENTAL DISTURBED	160234670	37.7726818428837	-122.426361992429	2016-03-21T07:50:00Z	NONE
LARCENY/THEFT	Monday	GRAND THEFT FROM PERSON	160234686	37.7979466732983	-122.406460643507	2016-03-21T07:56:00Z	ARREST, BOOKED
